,Adjektiv,P(han),P(hun),Differanse
79,burkinsk,0.004635966848582029,0.7962591648101807,-0.7916231979615986
80,bymessig,0.004746605176478624,0.7902667750604451,-0.7855201698839664
81,bægjen,0.0038055514451116323,0.8424285054206848,-0.8386229539755732
82,bøyelig,0.004025261849164963,0.8155328035354614,-0.8115075416862965
83,daddelverdig,0.006192550528794527,0.7489836812019348,-0.7427911306731403
84,demonstrativ,0.002613015240058303,0.8231511116027832,-0.8205380963627249
85,diffus,0.00729862367734313,0.7016087174415588,-0.6943100937642157
86,disiplinert,0.004494660533964634,0.7193092703819275,-0.7148146098479629
87,diskret,0.00401747552677989,0.7297618985176086,-0.7257444229908288
88,distingvert,0.004377047065645456,0.7469064528122544,-0.742529405746609
89,djerv,0.004793095402419567,0.7419062852859497,-0.7371131898835301
90,dogmatisk,0.0030083779711276293,0.7853589670266956,-0.782350589055568
91,dorsk,0.0072296964935958385,0.8277300000190735,-0.8205003035254776
92,doven,0.005636616609990597,0.7405328084714711,-0.7348961918614805
93,dum,0.0038094755727797747,0.7508528232574463,-0.7470433476846665
94,dyktig,0.004301020875573158,0.7530740341171622,-0.7487730132415891
95,dyster,0.00297431624494493,0.7237966656684875,-0.7208223494235426
96,dystopisk,0.003106448333710432,0.7531107068061829,-0.7500042584724724
97,egoistisk,0.0031535085290670395,0.7452664375305176,-0.7421129290014505
98,eklektisk,0.00465520890429616,0.772891640663147,-0.7682364317588508
99,ekstrem,0.0041159517131745815,0.8378463983535767,-0.8337304466404021
100,elektrofysiologisk,0.0044476850889623165,0.7542858123779297,-0.7498381272889674
101,endimensjonal,0.005886411760002375,0.7239630818367004,-0.7180766700766981
102,engelsk,0.00582562480121851,0.6570487776771188,-0.6512231528759003
103,engstelig,0.002237839624285698,0.8079639903735369,-0.8057261507492512
104,ensom,0.0035752584226429462,0.8267778754234314,-0.8232026170007885
105,entomologisk,0.003368275472894311,0.7603038549423218,-0.7569355794694275
106,entusiastisk,0.002956702373921871,0.7995926020666957,-0.7966358996927738
107,esoterisk,0.007072416599839926,0.7702385317534208,-0.7631661151535809
108,estisk,0.006565788295120001,0.8043091893196106,-0.7977434010244906
109,etiopisk,0.00502706877887249,0.8140160441398621,-0.8089889753609896
110,etnisk,0.004890370182693005,0.7772942781448364,-0.7724039079621434
111,etnologisk,0.0036030267365276814,0.7504792213439941,-0.7468761946074665
112,falsk,0.003267800435423851,0.7919750213623047,-0.7887072209268808
113,fattig,0.002739354269579053,0.8141875267028809,-0.8114481724333018
114,feig,0.0028877141885459423,0.7965969443321228,-0.7937092301435769
115,fengslende,0.002922245068475604,0.8270418047904968,-0.8241195597220212
116,fennoskandisk,0.004907735623419285,0.7981539368629456,-0.7932462012395263
117,fet,0.0036339308135211468,0.7659065127372742,-0.762272581923753
118,firedimensjonal,0.007403931114822626,0.7165598273277283,-0.7091558962129056
119,firkantet,0.008287174627184868,0.6991191506385803,-0.6908319760113955
120,fjåg,0.0054018693044781685,0.8130787014961243,-0.8076768321916461
121,flamboyant,0.003247370244935155,0.8200321197509766,-0.8167847495060414
122,flat,0.004007802810519934,0.7947044968605042,-0.7906966940499842
123,flerdimensjonal,0.009319066070020199,0.6635710597038269,-0.6542519936338067
124,flink,0.0041303387843072414,0.8110506534576416,-0.8069203146733344
125,fonetisk,0.008296383544802666,0.7060644621960819,-0.6977680786512792
126,fordekt,0.004563589580357075,0.778034508228302,-0.7734709186479449
127,forfjamset,0.002978541888296604,0.8548821210861206,-0.851903579197824
128,forholdsmessig,0.003587994258850813,0.7810294032096863,-0.7774414089508355
129,formastelig,0.0036270683631300926,0.8339739441871643,-0.8303468758240342
130,formfullendt,0.0023395689204335213,0.7889670277945697,-0.7866274588741362
131,fornem,0.006507014390081167,0.7541212437208742,-0.747614229330793
132,fornuftig,0.004730230197310448,0.6858528852462769,-0.6811226550489664
133,fornøyd,0.0031823855824768543,0.8113265037536621,-0.8081441181711853
134,forstandig,0.005727155599743128,0.7643125653266907,-0.7585854097269475
135,fortreffelig,0.004046204499900341,0.8037160634994507,-0.7996698589995503
136,framgangsrik,0.005663181655108929,0.7369858026504517,-0.7313226209953427
137,framifrå,0.0049543133936822414,0.8467495881486684,-0.8417952747549862
138,frankisk,0.00563271576538682,0.7705981135368347,-0.7649653977714479
139,fredelig,0.0026624631136655807,0.8371646900195628,-0.8345022269058973
140,fredlig,0.002837735926732421,0.8321843787562102,-0.8293466428294778
141,freidig,0.0038167147431522608,0.7498586773872375,-0.7460419626440853
142,fremgangsrik,0.0049657030031085014,0.7326854467391968,-0.7277197437360883
143,fremherskende,0.004660360049456358,0.7631328520365059,-0.7584724919870496
144,fremragende,0.002743066055700183,0.7424023896455765,-0.7396593235898763
145,fruktsommelig,0.0028355272952467203,0.8286534547805786,-0.8258179274853319
146,fundamental,0.0044611720368266106,0.7378480602055788,-0.7333868881687522
147,følsom,0.004093065392225981,0.7540659308433533,-0.7499728654511273
148,føyelig,0.004492653999477625,0.7991093397140503,-0.7946166857145727
149,gal,0.0038406571839004755,0.8169488310813904,-0.8131081738974899
150,gammal,0.005886193830519915,0.7992415428161621,-0.7933553489856422
151,gavmild,0.004964757245033979,0.7253031730651855,-0.7203384158201516
152,geometrisk,0.007716553285717964,0.7504153847694397,-0.7426988314837217
153,germansk,0.006116700824350119,0.7585616707801819,-0.7524449699558318
154,gifteferdig,0.003825869644060731,0.7990491390228271,-0.7952232693787664
155,gjennomskinnelig,0.005135077051818371,0.7582424879074097,-0.7531074108555913
156,gjennomtrengelig,0.004510910715907812,0.7694679498672485,-0.7649570391513407
157,glupsk,0.00633774371817708,0.7217720746994019,-0.7154343309812248
158,godhjerta,0.003077225759625435,0.8053944706916809,-0.8023172449320555
159,godhjertet,0.003738724160939455,0.7766827344894409,-0.7729440103285015
160,godt og vel,0.004489980638027191,0.7590082287788391,-0.7545182481408119
161,godt stekt,0.005712827201932669,0.7872004508972168,-0.7814876236952841
162,godtroende,0.0034173675812780857,0.7892917990684509,-0.7858744314871728
163,grammatisk,0.004235714673995972,0.752246456220746,-0.7480107415467501
164,grei,0.002893958706408739,0.8603981733322144,-0.8575042146258056
165,gresk,0.0037795163225382566,0.8341257707215846,-0.8303462543990463
166,grov,0.003698772517964244,0.8213876485824585,-0.8176888760644943
167,grundig,0.003444128902629018,0.8042819502297789,-0.8008378213271499
168,grådig,0.003866796614602208,0.7646079063415527,-0.7607411097269505
169,gudbenådet,0.005162916146218777,0.7393427491188049,-0.7341798329725862
170,guddommelig,0.005066572688519955,0.7635179758071899,-0.75845140311867
171,gulaktig,0.006453047972172499,0.8834211826324463,-0.8769681346602738
172,gyllen,0.004734782036393881,0.8290337920188904,-0.8242990099824965
173,gørrkjedelig,0.004157134331762791,0.8060360550880432,-0.8018789207562804
174,handlekraftig,0.0033311352599412203,0.7545580863952637,-0.7512269511353225
175,hardnakka,0.004950431175529957,0.6865839958190918,-0.6816335646435618
176,harm,0.0032298737205564976,0.7819035053253174,-0.7786736316047609
177,hebraisk,0.008564348332583904,0.7999212741851807,-0.7913569258525968
178,hellig,0.0040084426291286945,0.8041303399950266,-0.8001218973658979
179,herskende,0.004669507034122944,0.7404975891113281,-0.7358280820772052
180,holomorf,0.0035904974211007357,0.759358748793602,-0.7557682513725013
181,homogen,0.009638353250920773,0.6662070751190186,-0.6565687218680978
182,hoven,0.004878840409219265,0.7255454063415527,-0.7206665659323335
183,hovmodig,0.005185985472053289,0.7701421729288995,-0.7649561874568462
184,human,0.004508216865360737,0.7282269597053528,-0.723718742839992
185,hvit,0.00334663363173604,0.8219911456108093,-0.8186445119790733
186,hyggelig,0.0029099720995873213,0.8135939240455627,-0.8106839519459754
187,høgferdig,0.00718965008854866,0.8206971883773804,-0.8135075382888317
188,høy,0.004658783320337534,0.7277982234954834,-0.7231394401751459
189,høytidelig,0.004605969414114952,0.6984285116195679,-0.6938225422054529
190,i adams drakt,0.007333903573453426,0.7579909563064575,-0.7506570527330041
191,idiomatisk,0.007567256689071655,0.699057181365788,-0.6914899246767163
192,iherdig,0.0037555270828306675,0.815505862236023,-0.8117503351531923
193,imaginær,0.005015091504901648,0.7500688433647156,-0.7450537518598139
194,inderlig,0.00398285361006856,0.7992984652519226,-0.795315611641854
195,indolent,0.0041283369064331055,0.8022285457700491,-0.798100208863616
196,indonesisk,0.005101834889501333,0.8012661933898926,-0.7961643585003912
197,injektiv,0.007574971299618483,0.6874571400694549,-0.6798821687698364
198,innadvendt,0.0034561657812446356,0.7766039774287492,-0.7731478116475046
199,inngripende,0.0035182142164558172,0.7855211496353149,-0.7820029354188591
200,internasjonal,0.0042422194965183735,0.698483943939209,-0.6942417244426906
201,intransitiv,0.006839515641331673,0.7216543387621641,-0.7148148231208324
202,intrikat,0.005128777120262384,0.7019921541213989,-0.6968633770011365
203,intuitiv,0.004625089932233095,0.6957268067635596,-0.6911017168313265
204,irriterende,0.00279850116930902,0.7875757284928113,-0.7847772273235023
205,isotonisk,0.00899262260645628,0.7929887175559998,-0.7839960949495435
206,isotropisk,0.007975634187459946,0.760610818862915,-0.7526351846754551
207,israelittisk,0.004008159972727299,0.8199784755706787,-0.8159703155979514
208,jambisk,0.006239073816686869,0.8786735704634339,-0.872434496646747
209,japansk,0.004656743723899126,0.7702093720436096,-0.7655526283197105
210,jemenittisk,0.006010433193296194,0.8056267499923706,-0.7996163167990744
211,jordisk,0.004331109579652548,0.7799760699272156,-0.775644960347563
212,jødisk,0.0052094184793531895,0.8193128108978271,-0.814103392418474
213,kafkask,0.0043951054103672504,0.813975989818573,-0.8095808844082057
214,kambodsjansk,0.0054845563136041164,0.8715569972991943,-0.8660724409855902
215,kanon,0.0034752448555082083,0.7798725366592407,-0.7763972918037325
216,kardiotoksisk,0.005478377919644117,0.7943742275238037,-0.7888958496041596
217,keik,0.00934502761811018,0.7402783632278442,-0.7309333356097341
218,kinesisk,0.006249766331166029,0.7859886288642883,-0.7797388625331223
219,kjempedårlig,0.004244520794600248,0.8268280625343323,-0.822583541739732
220,kjempeglad,0.0036594660487025976,0.8590282797813416,-0.855368813732639
