,Adjektiv,P(han),P(hun),Differanse
270,urugayansk,0.10380421578884125,0.18310558795928955,-0.0793013721704483
195,proaktiv,0.05185963213443756,0.12618660926818848,-0.07432697713375092
247,thailandsk,0.1027812659740448,0.17584481835365295,-0.07306355237960815
266,uglesett,0.041590988636016846,0.11216338723897934,-0.0705723986029625
4,adelig,0.09720370173454285,0.16636183857917786,-0.06915813684463501
131,kinesisk,0.12998472154140472,0.19400554895401,-0.06402082741260529
210,sint som en veps,0.04926297813653946,0.11276150494813919,-0.06349852681159973
244,taiwanesisk,0.10430153459310532,0.16656406223773956,-0.06226252764463425
280,voksen,0.06812123209238052,0.12392748892307281,-0.05580625683069229
183,paraguayansk,0.08745952695608139,0.14105892181396484,-0.05359939485788345
224,sped,0.0379909873008728,0.09151554852724075,-0.05352456122636795
237,svaksynt,0.043452922254800797,0.09446752071380615,-0.051014598459005356
164,mindreårig,0.029737306758761406,0.07989849895238876,-0.05016119219362736
84,frekk som en flatlus,0.05467462167143822,0.10225021839141846,-0.04757559671998024
116,hårsår,0.05853840708732605,0.10523397475481033,-0.04669556766748428
169,nervøs,0.059352654963731766,0.10544238984584808,-0.04608973488211632
216,skjønnlitterær,0.05374252796173096,0.09754771739244461,-0.043805189430713654
14,aktiv,0.056350383907556534,0.09992464631795883,-0.0435742624104023
95,følelsesmessig,0.03605656698346138,0.07606883347034454,-0.04001226648688316
138,kompetent,0.04972546920180321,0.08864201605319977,-0.03891654685139656
89,fruktsommelig,0.07300041615962982,0.10926851630210876,-0.03626810014247894
175,omtenksom,0.1961647868156433,0.23230497539043427,-0.036140188574790955
56,distré,0.09574594348669052,0.1299952268600464,-0.034249283373355865
60,dum som et brød,0.0646137222647667,0.09785874933004379,-0.0332450270652771
93,fysisk,0.061232078820466995,0.09372515976428986,-0.03249308094382286
245,taiwansk,0.13292838633060455,0.16484132409095764,-0.03191293776035309
77,flau,0.01827334053814411,0.048805274069309235,-0.030531933531165123
228,sta,0.13582129776477814,0.1645883172750473,-0.028767019510269165
