
 ===== Results for model [NorBERT] with [Sentence_Embeddings] ===== 
S0Diff (M-F): 0.0009489655494689941 Diff ratio (M/F): 1.0010731583094208,
S1Diff (M-F): -0.0004741549491882324 Diff ratio (M/F): 0.9994365666076012,
S2Diff (M-F): 0.00046569108963012695 Diff ratio (M/F): 1.000543278762779,
S3Diff (M-F): 0.0013622045516967773 Diff ratio (M/F): 1.0016055934847217,
S4Diff (M-F): 0.0007605552673339844 Diff ratio (M/F): 1.0008717221862382,
S5Diff (M-F): 0.005228102207183838 Diff ratio (M/F): 1.0059652666191194,
S6Diff (M-F): 0.0034021735191345215 Diff ratio (M/F): 1.0038718159555529,
S7Diff (M-F): 0.00268477201461792 Diff ratio (M/F): 1.0030870649217778,
S8Diff (M-F): 0.0009118318557739258 Diff ratio (M/F): 1.0010477635815789,
S9Diff (M-F): 0.0033776164054870605 Diff ratio (M/F): 1.0038489261015968,
S10Diff (M-F): 0.0008611083030700684 Diff ratio (M/F): 1.0009681714393246,
S11Diff (M-F): 0.00044840574264526367 Diff ratio (M/F): 1.0005173105462726,
S12Diff (M-F): 0.0005585551261901855 Diff ratio (M/F): 1.0006549744192335,
