
 ===== Results for model [NB-BERT] with [Sentence_Embeddings] ===== 
S0Diff (M-F): 0.0014400025829672813 Diff ratio (M/F): 1.092205588769387,
S1Diff (M-F): 0.0016048075631260872 Diff ratio (M/F): 1.1602300604283826,
S2Diff (M-F): 0.001924663782119751 Diff ratio (M/F): 1.3948644117183433,
S3Diff (M-F): 0.0017376560717821121 Diff ratio (M/F): 1.1825225801251074,
S4Diff (M-F): 0.0014265403151512146 Diff ratio (M/F): 1.0417331960877376,
S5Diff (M-F): 0.001714412122964859 Diff ratio (M/F): 1.0431953293640461,
S6Diff (M-F): 0.0015875641256570816 Diff ratio (M/F): 1.1158026814925925,
S7Diff (M-F): 0.0016189496964216232 Diff ratio (M/F): 1.0706138421709332,
S8Diff (M-F): 0.0016769710928201675 Diff ratio (M/F): 1.0603933536769385,
S9Diff (M-F): 0.0015467171906493604 Diff ratio (M/F): 0.3070052393706496,
S10Diff (M-F): 0.0016932403668761253 Diff ratio (M/F): 1.1119236435890685,
S11Diff (M-F): 0.0015234649181365967 Diff ratio (M/F): 1.061430062940158,
S12Diff (M-F): 0.0019463859498500824 Diff ratio (M/F): 1.095389516152148,
